date,Wellfargo_OT,Citi_OT,Barclay_OT,OT
1988-07-01,1.9375,22.6175,66.971497,6.125
1988-07-05,1.96875,23.13625,66.971497,6.28125
1988-07-06,1.9375,22.6175,68.456001,6.21875
1988-07-07,1.921875,22.41,67.631302,6.0625
1988-07-08,1.90625,21.995001,67.631302,6.0
1988-07-11,1.929688,22.098749,67.631302,6.0
1988-07-12,1.921875,21.58,68.456001,5.875
1988-07-13,1.921875,21.58,69.610703,5.84375
1988-07-14,1.953125,21.68375,68.786003,5.875
1988-07-15,1.960938,21.7875,68.126099,5.90625
1988-07-18,1.9375,21.47625,68.456001,5.875
1988-07-19,1.984375,21.268749,68.950897,5.84375
1988-07-20,1.992188,21.47625,68.950897,5.9375
1988-07-21,1.984375,21.268749,69.775703,5.9375
1988-07-22,1.976563,20.64625,68.950897,5.84375
1988-07-25,1.984375,20.5425,68.456001,5.8125
1988-07-26,1.960938,20.75,68.456001,5.78125
1988-07-27,1.9375,20.438749,67.631302,5.71875
1988-07-28,1.992188,20.438749,66.476601,5.78125
1988-07-29,2.015625,20.438749,66.806503,5.84375
1988-08-01,2.046875,21.061251,66.146698,6.25
1988-08-02,2.015625,21.268749,65.651802,6.96875
1988-08-03,2.0625,21.995001,65.981697,6.96875
1988-08-04,2.15625,21.7875,66.806503,6.96875
1988-08-05,2.1875,21.68375,67.961197,7.21875
1988-08-08,2.179688,22.41,68.456001,6.96875
1988-08-09,2.09375,22.825001,67.631302,6.9375
1988-08-10,2.03125,22.41,67.136398,6.875
1988-08-11,2.054688,22.202499,66.476601,7.0
1988-08-12,2.054688,23.24,66.476601,6.9375
1988-08-15,2.015625,22.098749,65.4869,6.84375
1988-08-16,2.039063,22.30625,66.476601,6.90625
1988-08-17,2.054688,23.24,67.301399,6.875
1988-08-18,2.054688,23.24,67.466301,6.9375
1988-08-19,2.070313,23.4475,68.126099,6.90625
1988-08-22,2.054688,23.4475,67.631302,6.8125
1988-08-23,2.0625,22.928749,66.806503,6.75
1988-08-24,2.09375,23.24,67.136398,6.75
1988-08-25,2.085938,23.032499,66.146698,6.71875
1988-08-26,2.09375,25.00375,65.156998,6.6875
1988-08-29,2.125,24.485001,65.156998,6.6875
1988-08-30,2.132813,24.07,65.156998,6.625
1988-08-31,2.117188,24.07,65.816803,6.6875
1988-09-01,2.078125,23.34375,64.497101,6.6875
1988-09-02,2.125,23.966249,65.4869,7.03125
1988-09-06,2.140625,23.966249,65.321899,7.0
1988-09-07,2.125,23.758751,65.321899,6.96875
1988-09-08,2.148438,23.862499,64.662102,7.03125
1988-09-09,2.164063,23.55125,64.662102,6.9375
1988-09-12,2.171875,23.655001,64.991997,7.0
1988-09-13,2.179688,23.655001,64.991997,7.0
1988-09-14,2.203125,23.55125,65.156998,7.09375
1988-09-15,2.195313,23.4475,65.156998,7.0
1988-09-16,2.1875,23.24,64.662102,7.0625
1988-09-19,2.1875,23.34375,64.991997,7.0625
1988-09-20,2.179688,23.4475,65.816803,7.125
1988-09-21,2.148438,23.758751,65.4869,7.0625
1988-09-22,2.070313,23.966249,64.991997,7.0
1988-09-23,2.078125,24.07,65.4869,6.96875
1988-09-26,2.09375,23.862499,65.321899,7.0
1988-09-27,2.101563,23.55125,66.476601,7.0625
1988-09-28,2.125,23.758751,67.796204,7.0625
1988-09-29,2.078125,24.17375,69.115898,7.1875
1988-09-30,2.109375,24.07,69.115898,7.03125
1988-10-03,2.09375,23.655001,68.456001,7.0
1988-10-04,2.117188,23.34375,68.2911,7.03125
1988-10-05,2.15625,23.4475,68.621002,7.09375
1988-10-06,2.140625,23.4475,69.115898,7.0625
1988-10-07,2.148438,23.966249,69.610703,7.09375
1988-10-10,2.117188,24.07,69.940598,7.09375
1988-10-11,2.125,23.966249,69.940598,7.125
1988-10-12,2.046875,23.966249,68.786003,7.09375
1988-10-13,2.054688,23.655001,69.610703,7.125
1988-10-14,2.0625,23.4475,70.105598,7.125
1988-10-17,2.054688,23.4475,70.435501,7.15625
1988-10-18,2.039063,23.4475,69.610703,7.21875
1988-10-19,2.023438,23.24,69.775703,7.15625
1988-10-20,2.023438,23.758751,70.765404,7.1875
1988-10-21,2.015625,23.966249,70.765404,7.1875
1988-10-24,2.0,23.758751,70.435501,7.125
1988-10-25,2.015625,24.07,68.786003,7.125
1988-10-26,2.03125,24.07,68.621002,7.125
1988-10-27,2.0,23.758751,68.126099,7.0625
1988-10-28,2.015625,24.07,68.126099,7.09375
1988-10-31,2.007813,24.07,67.961197,7.125
1988-11-01,2.070313,24.07,67.631302,7.125
1988-11-02,2.039063,24.17375,67.466301,7.15625
1988-11-03,2.03125,24.17375,67.466301,7.125
1988-11-04,2.03125,24.07,67.466301,7.125
1988-11-07,2.015625,24.17375,66.641502,6.875
1988-11-08,2.023438,24.17375,67.301399,6.875
1988-11-09,2.023438,24.07,66.641502,6.78125
1988-11-10,2.046875,24.07,66.641502,6.78125
1988-11-11,2.0,23.34375,66.146698,6.5625
1988-11-14,2.007813,23.13625,66.971497,6.59375
1988-11-15,2.015625,22.928749,67.466301,6.5625
1988-11-16,1.992188,22.41,67.961197,6.5
1988-11-17,1.96875,21.995001,68.456001,6.5625
1988-11-18,1.992188,22.41,68.456001,6.625
1988-11-21,2.0,22.202499,68.456001,6.5625
1988-11-22,1.992188,22.098749,68.786003,6.625
1988-11-23,2.0,23.032499,69.445801,6.6875
1988-11-25,2.007813,22.928749,67.961197,6.65625
1988-11-28,2.007813,23.13625,68.126099,6.59375
1988-11-29,2.007813,23.4475,68.950897,6.59375
1988-11-30,2.023438,23.758751,69.445801,6.71875
1988-12-01,2.0,23.55125,68.456001,6.71875
1988-12-02,1.992188,23.24,67.796204,6.71875
1988-12-05,1.992188,23.032499,67.301399,6.71875
1988-12-06,2.0,23.55125,67.466301,6.96875
1988-12-07,2.023438,23.758751,67.136398,7.0625
1988-12-08,2.054688,23.55125,66.806503,7.03125
1988-12-09,2.0625,23.655001,66.476601,6.96875
1988-12-12,2.0625,23.655001,66.3116,7.03125
1988-12-13,2.070313,23.032499,66.641502,7.0625
1988-12-14,2.039063,23.032499,67.466301,7.0625
1988-12-15,2.015625,23.24,68.456001,6.84375
1988-12-16,2.023438,18.15625,69.2808,7.09375
1988-12-19,2.046875,18.26,68.786003,6.96875
1988-12-20,1.992188,18.467501,69.115898,6.875
1988-12-21,1.960938,18.26,68.621002,6.84375
1988-12-22,1.976563,18.0525,67.631302,6.84375
1988-12-23,1.992188,18.26,67.796204,6.71875
1988-12-27,2.0,18.26,67.796204,6.75
1988-12-28,1.992188,18.26,67.631302,6.6875
1988-12-29,2.0,18.15625,67.301399,6.8125
1988-12-30,2.007813,18.0525,66.971497,6.8125
1989-01-03,2.0,17.43,66.641502,6.8125
1989-01-04,2.03125,17.94875,66.971497,6.8125
1989-01-05,2.03125,17.741249,67.301399,6.84375
1989-01-06,2.046875,17.844999,67.631302,6.8125
1989-01-09,2.054688,18.26,67.961197,7.15625
1989-01-10,2.054688,18.36375,68.950897,7.15625
1989-01-11,2.039063,18.571251,68.786003,7.125
1989-01-12,2.054688,18.674999,69.610703,7.15625
1989-01-13,2.078125,18.674999,70.600502,7.125
1989-01-16,2.070313,18.467501,70.600502,7.09375
1989-01-17,2.085938,18.15625,70.435501,7.03125
1989-01-18,2.09375,18.26,71.590202,7.0625
1989-01-19,2.15625,18.571251,72.084999,7.0625
1989-01-20,2.15625,18.571251,72.25,7.125
1989-01-23,2.15625,18.26,72.084999,7.03125
1989-01-24,2.171875,18.8825,71.755096,7.125
1989-01-25,2.203125,18.571251,72.414902,7.375
1989-01-26,2.203125,18.674999,73.404701,7.46875
1989-01-27,2.210938,19.504999,76.703796,7.4375
1989-01-30,2.21875,19.81625,77.363602,7.46875
1989-01-31,2.25,19.504999,77.858398,7.5
1989-02-01,2.265625,19.401251,76.538803,7.46875
1989-02-02,2.242188,19.297501,75.713997,7.46875
1989-02-03,2.234375,19.608749,76.0439,7.65625
1989-02-06,2.242188,19.401251,75.384102,7.65625
1989-02-07,2.25,19.7125,76.538803,8.0625
1989-02-08,2.25,20.127501,79.837898,8.0
1989-02-09,2.25,20.334999,79.0131,7.96875
1989-02-10,2.25,19.81625,78.1884,7.90625
1989-02-13,2.257813,19.7125,76.538803,7.84375
1989-02-14,2.234375,19.7125,76.538803,7.90625
1989-02-15,2.242188,19.81625,76.373901,8.0
1989-02-16,2.226563,19.81625,75.384102,8.15625
1989-02-17,2.25,19.92,75.2192,8.34375
1989-02-21,2.234375,19.7125,75.713997,8.15625
1989-02-22,2.210938,18.98625,74.559402,8.0625
1989-02-23,2.210938,19.401251,73.2397,8.0625
1989-02-24,2.21875,18.98625,73.2397,8.03125
1989-02-27,2.195313,18.778749,72.414902,8.125
1989-02-28,2.210938,18.26,73.2397,8.28125
1989-03-01,2.203125,18.26,74.229401,8.15625
1989-03-02,2.234375,18.467501,74.394402,8.28125
1989-03-03,2.21875,18.26,74.559402,8.65625
1989-03-06,2.265625,18.571251,74.559402,8.5625
1989-03-07,2.226563,18.778749,74.889297,8.5
1989-03-08,2.21875,18.467501,75.054199,8.5
1989-03-09,2.25,18.36375,74.559402,8.5
1989-03-10,2.25,18.26,74.889297,8.5
1989-03-13,2.257813,18.467501,72.909798,8.59375
1989-03-14,2.242188,18.467501,74.064499,8.59375
1989-03-15,2.242188,18.36375,72.909798,8.6875
1989-03-16,2.265625,18.674999,72.579903,9.15625
1989-03-17,2.242188,18.36375,71.2603,9.0
1989-03-20,2.25,18.26,70.930397,8.96875
1989-03-21,2.28125,18.15625,71.590202,9.0
1989-03-22,2.28125,18.0525,70.765404,9.03125
1989-03-23,2.28125,17.741249,71.2603,8.875
1989-03-27,2.328125,17.741249,71.2603,8.84375
1989-03-28,2.3125,17.637501,71.920097,8.84375
1989-03-29,2.296875,17.741249,72.084999,9.0625
1989-03-30,2.28125,17.741249,72.579903,9.0625
1989-03-31,2.296875,17.94875,73.404701,8.875
1989-04-03,2.304688,17.533751,72.579903,8.9375
1989-04-04,2.296875,18.0525,73.2397,8.71875
1989-04-05,2.296875,18.0525,73.2397,8.5625
1989-04-06,2.296875,18.15625,72.579903,8.5625
1989-04-07,2.3125,18.15625,72.084999,8.46875
1989-04-10,2.335938,17.637501,71.2603,8.40625
1989-04-11,2.351563,17.533751,71.2603,8.625
1989-04-12,2.304688,17.43,70.2705,8.75
1989-04-13,2.265625,17.43,71.095299,8.59375
1989-04-14,2.28125,17.43,71.590202,8.6875
1989-04-17,2.304688,17.43,71.2603,8.71875
1989-04-18,2.34375,17.741249,71.425201,8.875
1989-04-19,2.359375,17.741249,73.2397,9.0
1989-04-20,2.34375,17.637501,72.084999,8.9375
1989-04-21,2.390625,17.43,71.755096,9.03125
1989-04-24,2.382813,17.533751,71.425201,9.09375
1989-04-25,2.34375,17.32625,72.579903,9.1875
1989-04-26,2.375,17.32625,73.2397,9.03125
1989-04-27,2.367188,17.533751,73.734596,9.125
1989-04-28,2.375,17.32625,74.559402,9.09375
1989-05-01,2.351563,17.533751,74.559402,9.15625
1989-05-02,2.320313,17.533751,74.064499,9.21875
1989-05-03,2.296875,17.43,73.734596,9.71875
1989-05-04,2.296875,17.014999,74.229401,10.0
1989-05-05,2.28125,17.32625,74.559402,10.125
1989-05-08,2.289063,17.32625,74.229401,9.96875
1989-05-09,2.289063,17.014999,75.384102,9.84375
1989-05-10,2.28125,17.11875,76.538803,9.96875
1989-05-11,2.273438,17.32625,77.033699,9.9375
1989-05-12,2.304688,17.533751,78.518303,10.0
1989-05-15,2.359375,17.637501,79.508003,10.1875
1989-05-16,2.34375,17.637501,78.353302,10.125
1989-05-17,2.351563,17.533751,79.0131,10.1875
1989-05-18,2.398438,17.43,78.848198,10.21875
1989-05-19,2.421875,17.637501,79.837898,10.34375
1989-05-22,2.4375,18.0525,78.683197,10.46875
1989-05-23,2.398438,18.467501,77.033699,10.4375
1989-05-24,2.453125,18.36375,76.0439,10.5
1989-05-25,2.429688,18.467501,75.384102,10.96875
