date,Wellfargo_OT,BAC_OT,Barclay_OT,OT
1988-07-01,1.9375,6.125,66.971497,22.6175
1988-07-05,1.96875,6.28125,66.971497,23.13625
1988-07-06,1.9375,6.21875,68.456001,22.6175
1988-07-07,1.921875,6.0625,67.631302,22.41
1988-07-08,1.90625,6.0,67.631302,21.995001
1988-07-11,1.929688,6.0,67.631302,22.098749
1988-07-12,1.921875,5.875,68.456001,21.58
1988-07-13,1.921875,5.84375,69.610703,21.58
1988-07-14,1.953125,5.875,68.786003,21.68375
1988-07-15,1.960938,5.90625,68.126099,21.7875
1988-07-18,1.9375,5.875,68.456001,21.47625
1988-07-19,1.984375,5.84375,68.950897,21.268749
1988-07-20,1.992188,5.9375,68.950897,21.47625
1988-07-21,1.984375,5.9375,69.775703,21.268749
1988-07-22,1.976563,5.84375,68.950897,20.64625
1988-07-25,1.984375,5.8125,68.456001,20.5425
1988-07-26,1.960938,5.78125,68.456001,20.75
1988-07-27,1.9375,5.71875,67.631302,20.438749
1988-07-28,1.992188,5.78125,66.476601,20.438749
1988-07-29,2.015625,5.84375,66.806503,20.438749
1988-08-01,2.046875,6.25,66.146698,21.061251
1988-08-02,2.015625,6.96875,65.651802,21.268749
1988-08-03,2.0625,6.96875,65.981697,21.995001
1988-08-04,2.15625,6.96875,66.806503,21.7875
1988-08-05,2.1875,7.21875,67.961197,21.68375
1988-08-08,2.179688,6.96875,68.456001,22.41
1988-08-09,2.09375,6.9375,67.631302,22.825001
1988-08-10,2.03125,6.875,67.136398,22.41
1988-08-11,2.054688,7.0,66.476601,22.202499
1988-08-12,2.054688,6.9375,66.476601,23.24
1988-08-15,2.015625,6.84375,65.4869,22.098749
1988-08-16,2.039063,6.90625,66.476601,22.30625
1988-08-17,2.054688,6.875,67.301399,23.24
1988-08-18,2.054688,6.9375,67.466301,23.24
1988-08-19,2.070313,6.90625,68.126099,23.4475
1988-08-22,2.054688,6.8125,67.631302,23.4475
1988-08-23,2.0625,6.75,66.806503,22.928749
1988-08-24,2.09375,6.75,67.136398,23.24
1988-08-25,2.085938,6.71875,66.146698,23.032499
1988-08-26,2.09375,6.6875,65.156998,25.00375
1988-08-29,2.125,6.6875,65.156998,24.485001
1988-08-30,2.132813,6.625,65.156998,24.07
1988-08-31,2.117188,6.6875,65.816803,24.07
1988-09-01,2.078125,6.6875,64.497101,23.34375
1988-09-02,2.125,7.03125,65.4869,23.966249
1988-09-06,2.140625,7.0,65.321899,23.966249
1988-09-07,2.125,6.96875,65.321899,23.758751
1988-09-08,2.148438,7.03125,64.662102,23.862499
1988-09-09,2.164063,6.9375,64.662102,23.55125
1988-09-12,2.171875,7.0,64.991997,23.655001
1988-09-13,2.179688,7.0,64.991997,23.655001
1988-09-14,2.203125,7.09375,65.156998,23.55125
1988-09-15,2.195313,7.0,65.156998,23.4475
1988-09-16,2.1875,7.0625,64.662102,23.24
1988-09-19,2.1875,7.0625,64.991997,23.34375
1988-09-20,2.179688,7.125,65.816803,23.4475
1988-09-21,2.148438,7.0625,65.4869,23.758751
1988-09-22,2.070313,7.0,64.991997,23.966249
1988-09-23,2.078125,6.96875,65.4869,24.07
1988-09-26,2.09375,7.0,65.321899,23.862499
1988-09-27,2.101563,7.0625,66.476601,23.55125
1988-09-28,2.125,7.0625,67.796204,23.758751
1988-09-29,2.078125,7.1875,69.115898,24.17375
1988-09-30,2.109375,7.03125,69.115898,24.07
1988-10-03,2.09375,7.0,68.456001,23.655001
1988-10-04,2.117188,7.03125,68.2911,23.34375
1988-10-05,2.15625,7.09375,68.621002,23.4475
1988-10-06,2.140625,7.0625,69.115898,23.4475
1988-10-07,2.148438,7.09375,69.610703,23.966249
1988-10-10,2.117188,7.09375,69.940598,24.07
1988-10-11,2.125,7.125,69.940598,23.966249
1988-10-12,2.046875,7.09375,68.786003,23.966249
1988-10-13,2.054688,7.125,69.610703,23.655001
1988-10-14,2.0625,7.125,70.105598,23.4475
1988-10-17,2.054688,7.15625,70.435501,23.4475
1988-10-18,2.039063,7.21875,69.610703,23.4475
1988-10-19,2.023438,7.15625,69.775703,23.24
1988-10-20,2.023438,7.1875,70.765404,23.758751
1988-10-21,2.015625,7.1875,70.765404,23.966249
1988-10-24,2.0,7.125,70.435501,23.758751
1988-10-25,2.015625,7.125,68.786003,24.07
1988-10-26,2.03125,7.125,68.621002,24.07
1988-10-27,2.0,7.0625,68.126099,23.758751
1988-10-28,2.015625,7.09375,68.126099,24.07
1988-10-31,2.007813,7.125,67.961197,24.07
1988-11-01,2.070313,7.125,67.631302,24.07
1988-11-02,2.039063,7.15625,67.466301,24.17375
1988-11-03,2.03125,7.125,67.466301,24.17375
1988-11-04,2.03125,7.125,67.466301,24.07
1988-11-07,2.015625,6.875,66.641502,24.17375
1988-11-08,2.023438,6.875,67.301399,24.17375
1988-11-09,2.023438,6.78125,66.641502,24.07
1988-11-10,2.046875,6.78125,66.641502,24.07
1988-11-11,2.0,6.5625,66.146698,23.34375
1988-11-14,2.007813,6.59375,66.971497,23.13625
1988-11-15,2.015625,6.5625,67.466301,22.928749
1988-11-16,1.992188,6.5,67.961197,22.41
1988-11-17,1.96875,6.5625,68.456001,21.995001
1988-11-18,1.992188,6.625,68.456001,22.41
1988-11-21,2.0,6.5625,68.456001,22.202499
1988-11-22,1.992188,6.625,68.786003,22.098749
1988-11-23,2.0,6.6875,69.445801,23.032499
1988-11-25,2.007813,6.65625,67.961197,22.928749
1988-11-28,2.007813,6.59375,68.126099,23.13625
1988-11-29,2.007813,6.59375,68.950897,23.4475
1988-11-30,2.023438,6.71875,69.445801,23.758751
1988-12-01,2.0,6.71875,68.456001,23.55125
1988-12-02,1.992188,6.71875,67.796204,23.24
1988-12-05,1.992188,6.71875,67.301399,23.032499
1988-12-06,2.0,6.96875,67.466301,23.55125
1988-12-07,2.023438,7.0625,67.136398,23.758751
1988-12-08,2.054688,7.03125,66.806503,23.55125
1988-12-09,2.0625,6.96875,66.476601,23.655001
