date,Citi_OT,BAC_OT,Barclay_OT,OT
1988-07-01,22.6175,6.125,66.971497,1.9375
1988-07-05,23.13625,6.28125,66.971497,1.96875
1988-07-06,22.6175,6.21875,68.456001,1.9375
1988-07-07,22.41,6.0625,67.631302,1.921875
1988-07-08,21.995001,6.0,67.631302,1.90625
1988-07-11,22.098749,6.0,67.631302,1.929688
1988-07-12,21.58,5.875,68.456001,1.921875
1988-07-13,21.58,5.84375,69.610703,1.921875
1988-07-14,21.68375,5.875,68.786003,1.953125
1988-07-15,21.7875,5.90625,68.126099,1.960938
1988-07-18,21.47625,5.875,68.456001,1.9375
1988-07-19,21.268749,5.84375,68.950897,1.984375
1988-07-20,21.47625,5.9375,68.950897,1.992188
1988-07-21,21.268749,5.9375,69.775703,1.984375
1988-07-22,20.64625,5.84375,68.950897,1.976563
1988-07-25,20.5425,5.8125,68.456001,1.984375
1988-07-26,20.75,5.78125,68.456001,1.960938
1988-07-27,20.438749,5.71875,67.631302,1.9375
1988-07-28,20.438749,5.78125,66.476601,1.992188
1988-07-29,20.438749,5.84375,66.806503,2.015625
1988-08-01,21.061251,6.25,66.146698,2.046875
1988-08-02,21.268749,6.96875,65.651802,2.015625
1988-08-03,21.995001,6.96875,65.981697,2.0625
1988-08-04,21.7875,6.96875,66.806503,2.15625
1988-08-05,21.68375,7.21875,67.961197,2.1875
1988-08-08,22.41,6.96875,68.456001,2.179688
1988-08-09,22.825001,6.9375,67.631302,2.09375
1988-08-10,22.41,6.875,67.136398,2.03125
1988-08-11,22.202499,7.0,66.476601,2.054688
1988-08-12,23.24,6.9375,66.476601,2.054688
1988-08-15,22.098749,6.84375,65.4869,2.015625
1988-08-16,22.30625,6.90625,66.476601,2.039063
1988-08-17,23.24,6.875,67.301399,2.054688
1988-08-18,23.24,6.9375,67.466301,2.054688
1988-08-19,23.4475,6.90625,68.126099,2.070313
1988-08-22,23.4475,6.8125,67.631302,2.054688
1988-08-23,22.928749,6.75,66.806503,2.0625
1988-08-24,23.24,6.75,67.136398,2.09375
1988-08-25,23.032499,6.71875,66.146698,2.085938
1988-08-26,25.00375,6.6875,65.156998,2.09375
1988-08-29,24.485001,6.6875,65.156998,2.125
1988-08-30,24.07,6.625,65.156998,2.132813
1988-08-31,24.07,6.6875,65.816803,2.117188
1988-09-01,23.34375,6.6875,64.497101,2.078125
1988-09-02,23.966249,7.03125,65.4869,2.125
1988-09-06,23.966249,7.0,65.321899,2.140625
1988-09-07,23.758751,6.96875,65.321899,2.125
1988-09-08,23.862499,7.03125,64.662102,2.148438
1988-09-09,23.55125,6.9375,64.662102,2.164063
1988-09-12,23.655001,7.0,64.991997,2.171875
1988-09-13,23.655001,7.0,64.991997,2.179688
1988-09-14,23.55125,7.09375,65.156998,2.203125
1988-09-15,23.4475,7.0,65.156998,2.195313
1988-09-16,23.24,7.0625,64.662102,2.1875
1988-09-19,23.34375,7.0625,64.991997,2.1875
1988-09-20,23.4475,7.125,65.816803,2.179688
1988-09-21,23.758751,7.0625,65.4869,2.148438
1988-09-22,23.966249,7.0,64.991997,2.070313
1988-09-23,24.07,6.96875,65.4869,2.078125
1988-09-26,23.862499,7.0,65.321899,2.09375
1988-09-27,23.55125,7.0625,66.476601,2.101563
1988-09-28,23.758751,7.0625,67.796204,2.125
1988-09-29,24.17375,7.1875,69.115898,2.078125
1988-09-30,24.07,7.03125,69.115898,2.109375
1988-10-03,23.655001,7.0,68.456001,2.09375
1988-10-04,23.34375,7.03125,68.2911,2.117188
1988-10-05,23.4475,7.09375,68.621002,2.15625
1988-10-06,23.4475,7.0625,69.115898,2.140625
1988-10-07,23.966249,7.09375,69.610703,2.148438
1988-10-10,24.07,7.09375,69.940598,2.117188
1988-10-11,23.966249,7.125,69.940598,2.125
1988-10-12,23.966249,7.09375,68.786003,2.046875
1988-10-13,23.655001,7.125,69.610703,2.054688
1988-10-14,23.4475,7.125,70.105598,2.0625
1988-10-17,23.4475,7.15625,70.435501,2.054688
1988-10-18,23.4475,7.21875,69.610703,2.039063
1988-10-19,23.24,7.15625,69.775703,2.023438
1988-10-20,23.758751,7.1875,70.765404,2.023438
1988-10-21,23.966249,7.1875,70.765404,2.015625
1988-10-24,23.758751,7.125,70.435501,2.0
1988-10-25,24.07,7.125,68.786003,2.015625
1988-10-26,24.07,7.125,68.621002,2.03125
1988-10-27,23.758751,7.0625,68.126099,2.0
1988-10-28,24.07,7.09375,68.126099,2.015625
1988-10-31,24.07,7.125,67.961197,2.007813
1988-11-01,24.07,7.125,67.631302,2.070313
1988-11-02,24.17375,7.15625,67.466301,2.039063
1988-11-03,24.17375,7.125,67.466301,2.03125
1988-11-04,24.07,7.125,67.466301,2.03125
1988-11-07,24.17375,6.875,66.641502,2.015625
1988-11-08,24.17375,6.875,67.301399,2.023438
1988-11-09,24.07,6.78125,66.641502,2.023438
1988-11-10,24.07,6.78125,66.641502,2.046875
1988-11-11,23.34375,6.5625,66.146698,2.0
1988-11-14,23.13625,6.59375,66.971497,2.007813
1988-11-15,22.928749,6.5625,67.466301,2.015625
1988-11-16,22.41,6.5,67.961197,1.992188
1988-11-17,21.995001,6.5625,68.456001,1.96875
1988-11-18,22.41,6.625,68.456001,1.992188
