date,1,2,3,5,4,OT
1972-06-01,0.0,0.882813,0.880208,0.148495,249600,0.880208
1972-06-02,0.882813,0.890625,0.882813,0.148935,172800,0.882813
1972-06-05,0.882813,0.895833,0.880208,0.151131,302400,0.895833
1972-06-06,0.895833,0.911458,0.893229,0.151131,196800,0.895833
1972-06-07,0.895833,0.895833,0.888021,0.149813,48000,0.888021
1972-06-08,0.888021,0.895833,0.885417,0.150253,144000,0.890625
1972-06-09,0.890625,0.895833,0.885417,0.150253,43200,0.890625
1972-06-12,0.895833,0.901042,0.895833,0.15201,24000,0.901042
1972-06-13,0.898438,0.898438,0.885417,0.149374,76800,0.885417
1972-06-14,0.885417,0.890625,0.885417,0.149374,244800,0.885417
1972-06-15,0.890625,0.893229,0.890625,0.150692,206400,0.893229
1972-06-16,0.893229,0.901042,0.893229,0.15201,48000,0.901042
1972-06-19,0.895833,0.895833,0.893229,0.150692,91200,0.893229
1972-06-20,0.893229,0.895833,0.893229,0.151131,14400,0.895833
1972-06-21,0.895833,0.895833,0.893229,0.150692,48000,0.893229
1972-06-22,0.893229,0.901042,0.890625,0.15201,86400,0.901042
1972-06-23,0.90625,0.914063,0.90625,0.154207,96000,0.914063
1972-06-26,0.914063,0.916667,0.90625,0.154646,62400,0.916667
1972-06-27,0.921875,0.927083,0.921875,0.155525,67200,0.921875
1972-06-28,0.929688,0.947917,0.929688,0.159918,144000,0.947917
1972-06-29,0.945313,0.945313,0.945313,0.159479,28800,0.945313
1972-06-30,0.947917,0.958333,0.947917,0.161675,72000,0.958333
1972-07-03,0.958333,0.973958,0.958333,0.164311,57600,0.973958
1972-07-05,0.973958,0.973958,0.963542,0.162554,211200,0.963542
1972-07-06,0.96875,1.010417,0.96875,0.170462,254400,1.010417
1972-07-07,1.010417,1.026042,1.010417,0.171341,412800,1.015625
1972-07-10,1.015625,1.020833,1.010417,0.172219,0,1.020833
1972-07-11,1.020833,1.023438,1.015625,0.172219,2904000,1.020833
1972-07-12,1.020833,1.026042,1.020833,0.172219,259200,1.020833
1972-07-13,1.020833,1.03125,1.020833,0.173977,225600,1.03125
1972-07-14,1.03125,1.03125,1.023438,0.173977,172800,1.03125
1972-07-17,1.03125,1.033854,1.026042,0.174416,62400,1.033854
1972-07-18,1.033854,1.041667,1.028646,0.174855,220800,1.036458
1972-07-19,1.036458,1.041667,1.03125,0.175734,24000,1.041667
1972-07-20,1.041667,1.041667,1.033854,0.175295,76800,1.039063
1972-07-21,1.039063,1.046875,1.039063,0.176613,273600,1.046875
1972-07-24,1.046875,1.046875,1.041667,0.176173,225600,1.044271
1972-07-25,1.044271,1.057292,1.044271,0.177931,278400,1.054688
1972-07-26,1.057292,1.059896,1.057292,0.178809,86400,1.059896
1972-07-27,1.059896,1.059896,1.041667,0.175734,518400,1.041667
1972-07-28,1.046875,1.052083,1.046875,0.177052,67200,1.049479
1972-07-31,1.049479,1.049479,1.044271,0.17838,86400,1.049479
1972-08-01,1.049479,1.067708,1.044271,0.180593,264000,1.0625
1972-08-02,1.0625,1.078125,1.057292,0.182364,211200,1.072917
1972-08-03,1.072917,1.078125,1.0625,0.183249,264000,1.078125
1972-08-04,1.083333,1.09375,1.083333,0.185019,681600,1.088542
1972-08-07,1.098958,1.104167,1.098958,0.187233,206400,1.101563
1972-08-08,1.101563,1.101563,1.098958,0.18679,547200,1.098958
1972-08-09,1.098958,1.104167,1.09375,0.185905,244800,1.09375
1972-08-10,1.098958,1.104167,1.098958,0.187675,153600,1.104167
1972-08-11,1.104167,1.104167,1.101563,0.187675,86400,1.104167
1972-08-14,1.104167,1.114583,1.104167,0.18856,124800,1.109375
1972-08-15,1.114583,1.125,1.114583,0.189889,120000,1.117188
1972-08-16,1.125,1.135417,1.125,0.192101,81600,1.130208
1972-08-17,1.132813,1.135417,1.132813,0.192544,67200,1.132813
1972-08-18,1.145833,1.161458,1.145833,0.196085,321600,1.153646
1972-08-21,1.153646,1.158854,1.153646,0.19697,19200,1.158854
1972-08-22,1.161458,1.177083,1.161458,0.200069,350400,1.177083
1972-08-23,1.177083,1.182292,1.171875,0.200954,177600,1.182292
1972-08-24,1.182292,1.1875,1.182292,0.201839,72000,1.1875
1972-08-25,1.184896,1.184896,1.177083,0.200511,244800,1.179688
